Ministère des Affaires Etrangères;;;;
Conseil général du Loir et Cher;;Conseil général de Loir-et-Cher;;
Conseil général de Loir-et-Cher;;;;
Ministère de l'Education Nationale;;;;
Ministère de la Justice;;;;
Ministère de l'Economie et des Finances;;;;
Ministère des Affaires sociales et de la Santé;;;;
Ministère de l'Egalité des Territoires et du Logement;;;;
Ministère de l'Intérieur;;;;
Ministère du Commerce extérieur;;;;
Ministère du Redressement productif;;;;
Ministère de la Défense;;;;
Ministère de l'Ecologie du Développement Durable et de l'Energie;;;;
Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;;;;
Ministère de l'Enseignement supérieur et de la Recherche;;;;
Institut National de la Statistique et des Etudes Economiques (INSEE);;;;
Ministère de la Culture et de la Communication;;;;
Ministère de la Réforme de l'Etat, de la décentralisation et de la Fonction publique;;;;
Ministère des Sports, de la Jeunesse, de l'Education populaire et de la vie associative;;;;
Institut National de l'Information Géographique et Forestière;;;;
Régie autonome des transports parisiens (RATP);;;;
Ministère de la Justice et des Libertés;;Ministère de la Justice;;
Ministère de la Justice et des Libertés, Sous-direction de la statistique et des études;;Ministère de la Justice;;Sous-direction de la statistique et des études
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration;;Ministère de l'Intérieur;;
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration, Direction des libertés publiques et des affaires juridiques;;Ministère de l'Intérieur;;Direction des libertés publiques et des affaires juridiques
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration, Direction générale des collectivités locales;;Ministère de l'Intérieur;;Direction générale des collectivités locales
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration, Secrétariat général du ministère de l'Intérieur;;Ministère de l'Intérieur;;Secrétariat général du ministère de l'Intérieur
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration, Bureau des élections et études politiques;;Ministère de l'Intérieur;;Bureau des élections et études politiques
Ministère de l'Agriculture, de l'Agroalimentaire et de la Forêt;;;;
Ministère de l'artisanat, du commerce et du tourisme;;;;
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Direction du budget;;Ministère de l'Economie et des Finances;;Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Direction du budget
Ministère de l'Ecologie, du Développement durable, des Transports et du Logement;;Ministère de l'Ecologie du Développement Durable et de l'Energie;;
Ministère du Travail, de l'Emploi et de la Santé;; Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;;
Ministère de l'Education nationale, de la Jeunesse et de la Vie associative;;Ministère de l'Education Nationale;;
Premier Ministre, Direction de l'information légale et administrative;;Premier Ministre;;Direction de l'information légale et administrative
Ministère de l'Education nationale, de la Jeunesse et de la Vie associative, Direction de l'évaluation, la prospective et la performance;;Ministère de l'Education Nationale;;Direction de l'évaluation, la prospective et la performance
Ministère des Affaires Etrangères et Européennes, Direction générale de l'administration et de la modernisation;;Ministère des Affaires Etrangères;;Direction générale de l'administration et de la modernisation
Ministère du Budget, des Comptes publics et de la Réforme de l'Etat, Direction générale des douanes et droits indirects;;Ministère de l'Economie et des Finances;;Direction générale des douanes et droits indirects
Ministère des Sports;;Ministère des Sports, de la Jeunesse, de l'Education populaire et de la vie associative;;
Ministère des Affaires Etrangères et Européennes;;Ministère des Affaires Etrangères;;
Premier Ministre, Secrétariat général du Gouvernement;;Premier Ministre;;Secrétariat général du Gouvernement
Ministère de l'Economie, des Finances et de l'Industrie, Service des affaires multilatérales et du développement;;Ministère de l'Economie et des Finances;;Service des affaires multilatérales et du développement
Ministère de l'Economie, des Finances et de l'Industrie, Institut national de la statistique et des études économiques (INSEE);; Institut National de la Statistique et des Etudes Economiques (INSEE);;
Ministère de l'Economie, des Finances et de l'Industrie, Agence des participations de l'État;;Ministère de l'Economie et des Finances;;Agence des participations de l'État
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration, Préfecture de police de Paris;;Ministère de l'Intérieur;;Préfecture de police de Paris
Ministère de la Culture et de la Communication, Département des études, de la prospective et des statistiques;;Ministère de la Culture et de la Communication;;Département des études, de la prospective et des statistiques
Ministère de l'Ecologie, du Développement durable, des Transports et du Logement, Direction générale de l'aménagement, du logement et de la nature;;Ministère de l'Ecologie du Développement Durable et de l'Energie;;Direction générale de l'aménagement, du logement et de la nature
Ministère de l'Ecologie, du Développement durable, des Transports et du Logement, Direction générale des infrastructures, des transports et de la mer;;Ministère de l'Ecologie du Développement Durable et de l'Energie;;Direction générale des infrastructures, des transports et de la mer
Ministère de l'Ecologie, du Développement durable, des Transports et du Logement, Direction générale de l'aviation civile;;Ministère de l'Ecologie du Développement Durable et de l'Energie;;Direction générale de l'aviation civile
Ministère de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration, Direction de la modernisation et de l'action territoriale;;Ministère de l'Intérieur;;Direction de la modernisation et de l'action territoriale
Ministère de la Culture et de la Communication, Département de l'enseignement supérieur, de la recherche et de la technologie;;Ministère de la Culture et de la Communication;;Département de l'enseignement supérieur, de la recherche et de la technologie
Ministère de la Défense et des Anciens combattants;;Ministère de la Défense;;
